Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial,CouncilDistrict
B01221899-S1,BROOKLYN,,11/3/2025,11/4/2025,0,3/8/2026,59.0,,Permit Entire,3067081,301,40.72341,-73.9448,630,HUMBOLDT STREET,3,2686,55,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,33
B01297062-I1,BROOKLYN,,11/3/2025,11/4/2025,0,5/25/2026,70.0,,Permit Entire,3089182,305,40.67323,-73.88523,2358,PITKIN AVENUE,3,4015,22,GEIGER E&A GROUP CORP.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,42
B01307074-I1,BROOKLYN,,11/3/2025,11/4/2025,0,5/10/2026,50.0,,Permit Entire,3041069,316,40.68126,-73.9166,161,SARATOGA AVENUE,3,1515,1,BANGASH ASSOCIATES INC.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,41
B01307377-I1,BROOKLYN,,11/3/2025,11/4/2025,0,9/29/2026,20.0,,Permit Entire,3153541,310,40.62176,-74.02722,454,86 STREET,3,6045,27,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,47
B01307379-I1,BROOKLYN,,11/3/2025,11/4/2025,0,9/29/2026,20.0,,Permit Entire,3153542,310,40.62172,-74.02717,456,86 STREET,3,6045,28,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,47
B01309467-I1,BROOKLYN,,11/3/2025,11/4/2025,0,11/3/2026,214.0,,Permit Entire,3100931,317,40.65576,-73.9277,855,LENOX ROAD,3,4640,30,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,41
B01309574-I1,BROOKLYN,,11/3/2025,11/4/2025,0,11/3/2026,400.0,,Permit Entire,3335988,306,40.68853,-73.99855,101,WARREN STREET,3,300,7501,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,39
B01311864-I1,BROOKLYN,,11/3/2025,11/4/2025,0,10/6/2026,35.0,,Permit Entire,3070976,301,40.70864,-73.94372,193,GRAHAM AVENUE,3,3043,19,BANGASH ASSOCIATES INC.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,34
B01312100-I1,BROOKLYN,,11/3/2025,11/4/2025,0,9/15/2026,29.0,,Permit Entire,3007541,306,40.68065,-73.99648,373,COURT STREET,3,449,6,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,39
M01258029-I1,MANHATTAN,,11/3/2025,11/4/2025,0,9/21/2026,74.0,,Permit Entire,1031141,107,40.78258,-73.97192,7,WEST   81 STREET,1,1195,29,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Local Law 11,Other Zoning Districts,06
M01275979-I1,MANHATTAN,,11/3/2025,11/4/2025,0,9/29/2026,118.0,,Permit Entire,1033938,107,40.7895,-73.97861,315,WEST   86 STREET,1,1248,22,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts,06
M01290133-I1,MANHATTAN,,11/3/2025,11/4/2025,0,2/21/2026,36.0,,Permit Entire,1043945,108,40.76851,-73.95891,1355,SECOND AVENUE,1,1426,24,S&J Engineers PLLC,0,DOB NOW,Construction or Maintenance,Commercial District/Overlay,05
M01300890-I1,MANHATTAN,,11/3/2025,11/4/2025,0,4/25/2026,265.0,,Permit Entire,1083313,110,40.79967,-73.94913,70,WEST  115 STREET,1,1596,1,KINGSTON ENGINEERING P.C.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,09
M01301490-I1,MANHATTAN,,11/3/2025,11/4/2025,0,4/25/2026,353.0,,Permit Entire,1083318,110,40.79967,-73.94913,40,WEST  115 STREET,1,1596,1,KINGSTON ENGINEERING P.C.,1,DOB NOW,Local Law 11,Other Zoning Districts,09
M01301491-I1,MANHATTAN,,11/3/2025,11/4/2025,0,4/25/2026,467.0,,Permit Entire,1083317,110,40.79967,-73.94913,20,WEST  115 STREET,1,1596,1,KINGSTON ENGINEERING P.C.,1,DOB NOW,Local Law 11,Other Zoning Districts,09
M01301492-I1,MANHATTAN,,11/3/2025,11/4/2025,0,4/25/2026,557.0,,Permit Entire,1083316,110,40.79967,-73.94913,1390,5 AVENUE,1,1596,1,KINGSTON ENGINEERING P.C.,1,DOB NOW,Local Law 11,Other Zoning Districts,09
M01301493-I1,MANHATTAN,,11/3/2025,11/4/2025,0,4/25/2026,285.0,,Permit Entire,1083314,110,40.79967,-73.94913,70,LENOX AVENUE,1,1596,1,KINGSTON ENGINEERING P.C.,1,DOB NOW,Local Law 11,Other Zoning Districts,09
M01301494-I1,MANHATTAN,,11/3/2025,11/4/2025,0,4/25/2026,429.0,,Permit Entire,1083315,110,40.79967,-73.94913,1370,5 AVENUE,1,1596,1,KINGSTON ENGINEERING P.C.,1,DOB NOW,Local Law 11,Other Zoning Districts,09
M01302310-I1,MANHATTAN,,11/3/2025,11/4/2025,0,3/31/2026,313.0,,Permit Entire,1065028,112,40.87018,-73.91648,50,PARK TERRACE EAST,1,2243,332,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts,10
M01304186-I1,MANHATTAN,,11/3/2025,11/4/2025,0,10/31/2026,512.0,,Permit Entire,1083688,106,40.73488,-73.97698,441,EAST   20 STREET,1,978,1,HC PEC,0,DOB NOW,Local Law 11,Other Zoning Districts,04
M01311942-I1,MANHATTAN,,11/3/2025,11/4/2025,0,9/29/2026,30.0,,Permit Entire,1058814,110,40.81449,-73.94476,2270,7 AVENUE,1,1939,33,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,09
M01312369-I1,MANHATTAN,,11/3/2025,11/4/2025,0,2/21/2026,35.0,,Permit Entire,1079032,101,40.70916,-74.00914,51,NASSAU STREET,1,64,1,S&J Engineers PLLC,1,DOB NOW,Local Law 11,Commercial District/Overlay,01
Q01265673-I1,QUEENS,,11/3/2025,11/4/2025,0,12/31/2025,880.0,,Permit Entire,4200748,409,40.6906,-73.8211,101-33,124 STREET,4,9491,1,AME SERVICES INC,0,DOB NOW,Construction or Maintenance,Commercial District/Overlay,29
Q01267751-I1,QUEENS,,11/3/2025,11/4/2025,0,1/1/2026,1186.0,,Permit Entire,4096774,407,40.78992,-73.8395,128-02,SEVENTH AVENUE,4,3976,1,AK CONSULTING SERVICES  INC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts,19
Q01309432-I1,QUEENS,,11/3/2025,11/4/2025,0,7/26/2026,214.0,,Permit Entire,4430575,402,40.74763,-73.94785,11-55,45 AVENUE,4,52,1,IKRA CONSULTING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,26
Q01310259-I1,QUEENS,,11/3/2025,11/4/2025,0,2/1/2026,134.0,,Permit Entire,4062158,405,40.72403,-73.89836,66-02,GRAND AVENUE,4,2774,10,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,30
X01302259-I1,BRONX,,11/3/2025,11/4/2025,0,5/25/2026,129.0,,Permit Entire,2046090,210,40.8463,-73.83228,1730,EDISON AVENUE,2,4169,13,PR,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,13
X01309521-I1,BRONX,,11/3/2025,11/4/2025,0,2/1/2026,86.0,,Permit Entire,2000028,201,40.80679,-73.92015,205,BROOK AVENUE,2,2264,12,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,08
X01310150-I1,BRONX,,11/3/2025,11/4/2025,0,7/26/2026,125.0,,Permit Entire,2002846,204,40.83435,-73.91924,111,TUDOR PLACE,2,2463,63,IKRA CONSULTING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,16
X01310841-I1,BRONX,,11/3/2025,11/4/2025,0,2/1/2026,144.0,,Permit Entire,2000027,201,40.80688,-73.92008,500,EAST  137 STREET,2,2264,11,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,08
X01311243-I1,BRONX,,11/3/2025,11/4/2025,0,3/31/2026,117.0,,Permit Entire,2000133,201,40.81553,-73.91369,560,BROOK AVENUE,2,2276,1,TOHFAZ UDDIN PE PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,17
X01311683-I1,BRONX,,11/3/2025,11/4/2025,0,12/22/2025,37.0,,Permit Entire,2057670,212,40.88598,-73.86439,629,EAST 221 STREET,2,4656,83,KMA DESIGNS LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,12
X01311802-I1,BRONX,,11/3/2025,11/4/2025,0,12/6/2025,140.0,,Permit Entire,2017273,207,40.87392,-73.88548,227,EAST  203 STREET,2,3309,31,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,14
X01311313-I1,BRONX,,10/31/2025,11/4/2025,3,12/19/2025,80.0,,Permit Entire,2009585,203,40.84182,-73.89926,1700,BATHGATE AVENUE,2,2921,1,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,15
X01311333-I1,BRONX,,10/31/2025,11/4/2025,3,12/19/2025,80.0,,Permit Entire,2009559,203,40.84214,-73.90025,1701,BATHGATE AVENUE,2,2915,1,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,15
X01311174-I1,BRONX,,10/31/2025,11/4/2025,3,11/16/2025,103.0,,Permit Entire,2017638,207,40.8739,-73.88837,3073,VILLA AVENUE,2,3321,57,Soni Engineering Consulting,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,14
X01310700-I1,BRONX,,10/31/2025,11/4/2025,3,10/31/2026,55.0,,Permit Entire,2022944,209,40.82663,-73.85017,947,CASTLE HILL AVENUE,2,3688,42,HC PEC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,18
Q01309452-I1,QUEENS,,10/31/2025,11/4/2025,3,9/29/2026,93.0,,Permit Entire,4622997,412,40.71083,-73.79157,87-67,170 STREET,4,9826,49,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,27
Q01311466-I1,QUEENS,,10/31/2025,11/4/2025,3,12/19/2025,111.0,,Permit Entire,4010879,401,40.75411,-73.92258,35-35,STEINWAY STREET,4,669,8,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,26
M01310806-I1,MANHATTAN,,10/31/2025,11/4/2025,3,10/14/2026,40.0,,Permit Entire,1024813,105,40.76254,-73.98552,840,8 AVENUE,1,1022,61,S&J ENGINEERS PLLC,1,DOB NOW,Local Law 11,Commercial District/Overlay,03
M01311236-I1,MANHATTAN,,10/31/2025,11/4/2025,3,5/10/2026,130.0,,Permit Entire,1077683,103,40.72603,-73.98679,83,1 AVENUE,1,447,7501,BANGASH ASSOCIATES INC.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,02
M01311263-I1,MANHATTAN,,10/31/2025,11/4/2025,3,12/31/2025,90.0,,Permit Entire,1017869,105,40.73675,-73.98708,67,IRVING PLACE,1,874,17,G. BLINN CONSULTING  LLC,1,DOB NOW,Local Law 11,Other Zoning Districts,02
M01311373-I1,MANHATTAN,,10/31/2025,11/4/2025,3,3/2/2026,35.0,,Permit Entire,1001812,103,40.71558,-73.99888,81,BAYARD STREET,1,164,22,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,01
M01311475-I1,MANHATTAN,,10/31/2025,11/4/2025,3,4/1/2026,315.0,,Permit Entire,1080352,104,40.75736,-74.00043,450,11 AVENUE,1,708,65,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,03
M01309581-S1,MANHATTAN,,10/31/2025,11/4/2025,3,2/28/2026,292.0,,Permit Entire,1035347,105,40.75351,-73.9798,6,EAST   43 STREET,1,1277,8,URBAN INTEGRATIONS LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay,04
M01305409-I1,MANHATTAN,,10/31/2025,11/4/2025,3,2/28/2026,48.0,,Permit Entire,1056460,107,40.79668,-73.9698,2626,BROADWAY,1,1871,22,LAWSON CHRISTIAN,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,07
M01266481-I1,MANHATTAN,,10/31/2025,11/4/2025,3,1/1/2026,1000.0,,Permit Entire,1076776,112,40.86546,-73.9254,650,ACADEMY STREET,1,2233,20,DSENY ENGINEERING SERVICES  PC,0,DOB NOW,Construction or Maintenance,Commercial District/Overlay,10
B01311410-I1,BROOKLYN,,10/31/2025,11/4/2025,3,12/22/2025,75.0,,Permit Entire,3426445,304,40.698,-73.93228,38,TROUTMAN STREET,3,3183,20,KMA DESIGNS LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,34
B01309844-I1,BROOKLYN,,10/31/2025,11/4/2025,3,3/2/2026,37.0,,Permit Entire,3001150,302,40.68503,-73.98352,259,DEAN STREET,3,190,31,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,33
B01308642-I1,BROOKLYN,,10/31/2025,11/4/2025,3,10/31/2026,99.0,,Permit Entire,3424338,301,40.71037,-73.96794,26,BROADWAY,3,2129,7507,Always Fast Services Corp,1,DOB NOW,Local Law 11,Commercial District/Overlay,33
B01310802-I1,BROOKLYN,,10/31/2025,11/4/2025,3,10/14/2026,66.0,,Permit Entire,3379639,302,40.69057,-73.96583,248,HALL STREET,3,1918,13,S&J ENGINEERS PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,35
B01217629-I1,BROOKLYN,,10/31/2025,11/4/2025,3,8/1/2026,271.0,,Permit Entire,3062172,301,40.71789,-73.96041,101,NORTH    5 STREET,3,2334,7501,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,34
B01261139-I1,BROOKLYN,,10/30/2025,11/4/2025,4,12/22/2025,156.0,,Permit Entire,3107294,309,40.65826,-73.94838,363,HAWTHORNE STREET,3,4814,60,KMA DESIGNS LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,40
B01310818-I1,BROOKLYN,,10/30/2025,11/4/2025,4,3/1/2026,67.0,,Permit Entire,3049596,303,40.69058,-73.95503,979,BEDFORD AVENUE,3,1778,6,BRIAN GOLDMAN  ARCHITECT,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,36
B01310835-I1,BROOKLYN,,10/30/2025,11/4/2025,4,1/1/2026,26.0,,Permit Entire,3015606,307,40.64442,-74.02081,219,58 STREET,3,845,66,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,38
B01311121-I1,BROOKLYN,,10/30/2025,11/4/2025,4,9/9/2026,205.0,,Permit Entire,3168595,311,40.60412,-74.00794,8785,BAY   16 STREET,3,6434,21,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,47
B01309544-I1,BROOKLYN,,10/30/2025,11/4/2025,4,7/23/2026,30.0,,Permit Entire,3321957,303,40.68438,-73.95892,477,CLASSON AVENUE,3,1987,8,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,36
B01310298-I1,BROOKLYN,,10/30/2025,11/4/2025,4,3/7/2026,68.0,,Permit Entire,3336730,315,40.59781,-73.93509,2285,BRAGG STREET,3,7392,1,CRIBSTONE ENGINEERING PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,46
B01310422-I1,BROOKLYN,,10/30/2025,11/4/2025,4,11/16/2025,302.0,,Permit Entire,3429412,316,40.66855,-73.9137,486,THOMAS S BOYLAND STREET,3,3518,46,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,41
B01310710-I1,BROOKLYN,,10/30/2025,11/4/2025,4,3/1/2026,62.0,,Permit Entire,3069228,301,40.71238,-73.94626,117,POWERS STREET,3,2775,33,BRIAN GOLDMAN  ARCHITECT,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,34
M01304944-I1,MANHATTAN,,10/30/2025,11/4/2025,4,10/6/2026,35.0,,Permit Entire,1002608,102,40.71712,-73.99595,84,BOWERY,1,203,20,Volume Space Consulting Inc,0,DOB NOW,Construction or Maintenance,Commercial District/Overlay,01
M01307471-I1,MANHATTAN,,10/30/2025,11/4/2025,4,1/12/2026,324.0,,Permit Entire,1090777,105,40.76183,-73.97816,53,WEST   53 STREET,1,1269,7502,GEIGER E&A GROUP CORP.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,04
M01302911-I1,MANHATTAN,,10/30/2025,11/4/2025,4,10/14/2026,100.0,,Permit Entire,1030738,107,40.78119,-73.98231,240,WEST   75 STREET,1,1166,154,S&J ENGINEERS PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts,06
M01300993-I1,MANHATTAN,,10/30/2025,11/4/2025,4,4/1/2026,90.0,,Permit Entire,1015811,105,40.74722,-73.98699,19,WEST   31 STREET,1,833,28,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,03
M01298133-I1,MANHATTAN,,10/30/2025,11/4/2025,4,9/30/2026,115.0,,Permit Entire,1010971,102,40.7365,-74.00286,237,WEST   11 STREET,1,614,37,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Local Law 11,Other Zoning Districts,03
M01309588-I1,MANHATTAN,,10/30/2025,11/4/2025,4,10/30/2026,60.0,,Permit Entire,1012532,104,40.74151,-74.00599,409,WEST   14 STREET,1,712,24,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,03
M01309751-I1,MANHATTAN,,10/30/2025,11/4/2025,4,12/20/2025,50.0,,Permit Entire,1059435,110,40.81492,-73.9486,440,ST NICHOLAS AVENUE,1,1958,49,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,09
M01310265-I1,MANHATTAN,,10/30/2025,11/4/2025,4,4/1/2026,50.0,,Permit Entire,1021902,106,40.74452,-73.97454,327,EAST   34 STREET,1,940,17,BLACK SHEEP ENGINEERING GROUP,1,DOB NOW,Local Law 11,Commercial District/Overlay,04
M01310295-I1,MANHATTAN,,10/30/2025,11/4/2025,4,4/1/2026,94.0,,Permit Entire,1024747,105,40.75996,-73.98698,256,WEST   47 STREET,1,1018,57,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,03
M01310437-I1,MANHATTAN,,10/30/2025,11/4/2025,4,11/16/2025,48.0,,Permit Entire,1014511,105,40.75556,-73.99037,264,WEST   40 STREET,1,789,75,Soni Engineering Consulting,1,DOB NOW,Local Law 11,Other Zoning Districts,03
M01310650-I1,MANHATTAN,,10/30/2025,11/4/2025,4,4/1/2026,240.0,,Permit Entire,1091813,108,40.76867,-73.95879,260,EAST   72 STREET,1,1426,25,BLACK SHEEP ENGINEERING GROUP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,05
Q01310606-I1,QUEENS,,10/30/2025,11/4/2025,4,3/31/2026,70.0,,Permit Entire,4437865,405,40.70269,-73.8882,66-14,CENTRAL AVENUE,4,3678,7,AP PROFESSIONAL ENG PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,30
Q01303687-I1,QUEENS,,10/30/2025,11/4/2025,4,5/25/2026,42.0,,Permit Entire,4597086,412,40.69914,-73.80741,93-40,SUTPHIN BOULEVARD,4,9989,17,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,27
X01308292-I1,BRONX,,10/30/2025,11/4/2025,4,4/25/2026,30.0,,Permit Entire,2092785,209,40.82617,-73.86951,1715,BRUCKNER BOULEVARD,2,3723,1,AP PROFESSIONAL ENG PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,18
X01308305-I1,BRONX,,10/30/2025,11/4/2025,4,4/25/2026,30.0,,Permit Entire,2092786,209,40.82617,-73.86951,1725,BRUCKNER BOULEVARD,2,3723,1,AP PROFESSIONAL ENG PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,18
X01308312-I1,BRONX,,10/30/2025,11/4/2025,4,4/25/2026,30.0,,Permit Entire,2092784,209,40.82617,-73.86951,1055,ROSEDALE AVENUE,2,3723,1,AP PROFESSIONAL ENG PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,18
X01308335-I1,BRONX,,10/30/2025,11/4/2025,4,4/25/2026,30.0,,Permit Entire,2092788,209,40.82617,-73.86951,1020,SOUNDVIEW AVENUE,2,3723,1,AP PROFESSIONAL ENG PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,18
X01284504-I1,BRONX,,10/30/2025,11/4/2025,4,4/1/2026,443.0,,Permit Entire,2086321,208,40.90925,-73.90542,5900,ARLINGTON AVENUE,2,5953,240,KZ ENGINEERING  PC,0,DOB NOW,Local Law 11,Other Zoning Districts,11
X00674129-S1,BRONX,,10/30/2025,11/4/2025,4,10/30/2026,70.0,,Permit Entire,2003301,204,40.83733,-73.92608,1181,NELSON AVENUE,2,2516,51,360 ENGINEERING P.C.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,16
X01300898-I1,BRONX,,10/29/2025,11/4/2025,5,7/26/2026,264.0,,Permit Entire,2046051,210,40.84434,-73.82973,1603,HOBART AVENUE,2,4168,1,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,13
X01309532-I1,BRONX,,10/29/2025,11/4/2025,5,2/13/2026,164.0,,Permit Entire,2093503,211,40.87034,-73.85221,3020,YATES AVENUE,2,4581,1,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,12
X01309441-I1,BRONX,,10/29/2025,11/4/2025,5,3/2/2026,64.0,,Permit Entire,2025620,209,40.83206,-73.86689,1779,WESTCHESTER AVENUE,2,3786,1,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,18
X01309446-I1,BRONX,,10/29/2025,11/4/2025,5,9/29/2026,196.0,,Permit Entire,2017410,207,40.86673,-73.89508,101,EAST KINGSBRIDGE ROAD,2,3314,1,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,14
M01309757-I1,MANHATTAN,,10/29/2025,11/4/2025,5,1/12/2026,414.0,,Permit Entire,1076680,109,40.80687,-73.95989,435,WEST  116 STREET,1,1961,1,GEIGER E&A GROUP CORP.,1,DOB NOW,Local Law 11,Commercial District/Overlay,07
M01307406-I1,MANHATTAN,,10/29/2025,11/4/2025,5,4/1/2026,30.0,,Permit Entire,1036078,105,40.7631,-73.9728,14,EAST   58 STREET,1,1293,64,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,04
M01308646-I1,MANHATTAN,,10/29/2025,11/4/2025,5,10/29/2026,54.0,,Permit Entire,1002972,102,40.72133,-74.00322,14,WOOSTER STREET,1,229,13,Always Fast Services Corp,1,DOB NOW,Local Law 11,Other Zoning Districts,01
M01307373-I1,MANHATTAN,,10/29/2025,11/4/2025,5,4/1/2026,28.0,,Permit Entire,1050524,108,40.77506,-73.94857,445,EAST   84 STREET,1,1564,119,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,05
M01307393-I1,MANHATTAN,,10/29/2025,11/4/2025,5,9/29/2026,308.0,,Permit Entire,1084042,110,40.80428,-73.95234,203,WEST  117 STREET,1,1923,29,Always Fast Services Corp,1,DOB NOW,Local Law 11,Commercial District/Overlay,09
B01309853-I1,BROOKLYN,,10/29/2025,11/4/2025,5,12/31/2025,90.0,,Permit Entire,3083248,305,40.67645,-73.89965,19,ALABAMA AVENUE,3,3667,11,Alsieux Architecture  LLC.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,37
B01309485-I1,BROOKLYN,,10/29/2025,11/4/2025,5,3/2/2026,135.0,,Permit Entire,3194054,315,40.59393,-73.96225,735,AVENUE W,3,7159,40,Always Fast Services Corp,1,DOB NOW,Local Law 11,Other Zoning Districts,48
B01308088-I1,BROOKLYN,,10/29/2025,11/4/2025,5,7/26/2026,158.0,,Permit Entire,3151363,310,40.6255,-74.02392,510,80 STREET,3,5990,10,IKRA CONSULTING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,47
B01303051-I1,BROOKLYN,,10/28/2025,11/4/2025,6,4/1/2026,19.0,,Permit Entire,3002772,302,40.69032,-73.9937,179,ATLANTIC AVENUE,3,276,13,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,33
B01275475-I1,BROOKLYN,,10/28/2025,11/4/2025,6,3/31/2026,186.0,,Permit Entire,3346111,301,40.70072,-73.95242,189,WALLABOUT STREET,3,2244,7501,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,33
B01218688-I1,BROOKLYN,,10/28/2025,11/4/2025,6,4/1/2026,38.0,,Permit Entire,3325244,308,40.67926,-73.9647,766,DEAN STREET,3,1139,12,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,35
M01309074-I1,MANHATTAN,,10/28/2025,11/4/2025,6,10/28/2026,31.0,,Permit Entire,1010820,102,40.73454,-74.00283,239,WEST    4 STREET,1,611,4,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,03
M01307792-I1,MANHATTAN,,10/28/2025,11/4/2025,6,4/19/2026,275.2,,Permit Entire,1016061,105,40.73615,-73.99311,69,5 AVENUE,1,842,7501,LOMBARDO PROFESSIONAL ENGINEERING,1,DOB NOW,Local Law 11,Commercial District/Overlay,02
M01303225-I1,MANHATTAN,,10/28/2025,11/4/2025,6,4/1/2026,250.0,,Permit Entire,1014742,104,40.74226,-73.99653,165,WEST   20 STREET,1,796,1,Always Fast Services Corp,1,DOB NOW,Local Law 11,Commercial District/Overlay,03
M01279483-I1,MANHATTAN,,10/28/2025,11/4/2025,6,10/28/2026,19.0,,Permit Entire,1041364,108,40.77098,-73.96431,750,PARK AVENUE,1,1386,37,Always Fast Services Corp,1,DOB NOW,Local Law 11,Other Zoning Districts,04
M01309175-I1,MANHATTAN,,10/28/2025,11/4/2025,6,4/1/2026,49.0,,Permit Entire,1090579,105,40.75507,-73.98812,560,7 AVENUE,1,1012,29,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,03
Q01307995-I1,QUEENS,,10/28/2025,11/4/2025,6,9/21/2026,64.0,,Permit Entire,4017174,401,40.77293,-73.91417,23-57,31 STREET,4,835,15,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,22
Q01309410-I1,QUEENS,,10/28/2025,11/4/2025,6,10/6/2026,70.0,,Permit Entire,4006804,401,40.77087,-73.92291,26-11,CRESCENT STREET,4,573,24,Volume Space Consulting Inc,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,22
Q01309458-I1,QUEENS,,10/28/2025,11/4/2025,6,8/1/2026,94.0,,Permit Entire,4538607,401,40.76901,-73.91339,36-16,ASTORIA BOULEVARD SOUTH,4,652,42,Always Fast Services Corp,1,DOB NOW,Local Law 11,Commercial District/Overlay,22
Q01283896-I1,QUEENS,,10/28/2025,11/4/2025,6,6/18/2026,480.0,,Permit Entire,4449510,403,40.7514,-73.88224,35-16,85 STREET,4,1458,12,MCHENERY TESTING LAB,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,25
